GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,point_total,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10
2018-04-22,1610612759,1610612744,2017,103.0,90.0,193.0,102.8,104.6,105.3,105.95
2018-04-22,1610612764,1610612761,2017,106.0,98.0,204.0,106.4,109.85,111.4,107.3
2018-04-22,1610612754,1610612739,2017,100.0,104.0,204.0,101.4,100.05000000000001,110.6,108.1
2018-04-21,1610612748,1610612755,2017,102.0,106.0,208.0,109.15,108.85,118.6,105.0
2018-04-21,1610612740,1610612757,2017,131.0,123.0,254.0,110.45,104.25,104.8,103.4
2018-04-21,1610612750,1610612745,2017,121.0,105.0,226.0,107.5,108.0,107.1,99.6
2018-04-21,1610612762,1610612760,2017,115.0,102.0,217.0,108.35,96.6,111.85,107.65
2018-04-20,1610612754,1610612739,2017,92.0,90.0,182.0,102.6,100.2,111.2,109.3
2018-04-20,1610612764,1610612761,2017,122.0,103.0,225.0,105.05000000000001,109.6,112.30000000000001,107.15
2018-04-20,1610612749,1610612738,2017,116.0,92.0,208.0,111.05,112.25,105.6,102.5
2018-04-19,1610612748,1610612755,2017,108.0,128.0,236.0,109.15,107.4,117.7,105.5
2018-04-19,1610612740,1610612757,2017,119.0,102.0,221.0,110.45,104.9,105.0,102.65
2018-04-19,1610612759,1610612744,2017,97.0,110.0,207.0,103.35,102.69999999999999,105.5,106.55000000000001
2018-04-18,1610612739,1610612754,2017,100.0,97.0,197.0,111.80000000000001,108.95,102.80000000000001,100.1
2018-04-18,1610612760,1610612762,2017,95.0,102.0,197.0,112.85,106.9,108.44999999999999,96.05
2018-04-18,1610612745,1610612750,2017,102.0,82.0,184.0,107.05000000000001,100.3,108.35,108.3
2018-04-17,1610612761,1610612764,2017,130.0,119.0,249.0,111.2,106.45,104.9,107.94999999999999
2018-04-17,1610612738,1610612749,2017,120.0,106.0,226.0,105.05000000000001,102.1,111.6,112.55000000000001
2018-04-17,1610612757,1610612740,2017,102.0,111.0,213.0,106.15,102.5,111.2,105.25
2018-04-16,1610612755,1610612748,2017,103.0,113.0,216.0,117.95,104.55000000000001,109.65,108.44999999999999
2018-04-16,1610612744,1610612759,2017,116.0,101.0,217.0,105.2,106.85,103.8,101.6
2018-04-15,1610612738,1610612749,2017,113.0,107.0,220.0,105.35,103.19999999999999,112.3,112.05000000000001
2018-04-15,1610612739,1610612754,2017,80.0,98.0,178.0,113.65,110.35,102.85,100.95
2018-04-15,1610612760,1610612762,2017,116.0,108.0,224.0,112.65,107.6,107.94999999999999,94.8
2018-04-15,1610612745,1610612750,2017,104.0,101.0,205.0,107.30000000000001,99.9,109.2,108.1
2018-04-14,1610612744,1610612759,2017,113.0,92.0,205.0,105.25,107.30000000000001,105.15,102.05
2018-04-14,1610612761,1610612764,2017,114.0,106.0,220.0,110.80000000000001,105.65,104.95,107.44999999999999
2018-04-14,1610612755,1610612748,2017,130.0,103.0,233.0,117.45,105.2,109.6,107.15
2018-04-14,1610612757,1610612740,2017,95.0,97.0,192.0,106.95,102.0,112.4,106.30000000000001
2018-04-11,1610612738,1610612751,2017,110.0,97.0,207.0,104.80000000000001,104.4,110.0,111.1
2018-04-11,1610612739,1610612752,2017,98.0,110.0,208.0,113.6,110.25,105.15,111.5
2018-04-11,1610612748,1610612761,2017,116.0,109.0,225.0,110.05000000000001,106.85,110.45,104.6
2018-04-11,1610612753,1610612764,2017,101.0,92.0,193.0,96.25,103.35,105.85,107.55
2018-04-11,1610612755,1610612749,2017,130.0,95.0,225.0,115.85,105.5,112.0,110.15
2018-04-11,1610612741,1610612765,2017,87.0,119.0,206.0,102.7,110.6,105.15,103.9
2018-04-11,1610612750,1610612743,2017,112.0,106.0,218.0,109.55,108.35,115.1,112.65
2018-04-11,1610612740,1610612759,2017,122.0,98.0,220.0,111.25,107.2,105.69999999999999,101.8
2018-04-11,1610612760,1610612763,2017,137.0,123.0,260.0,111.4,106.69999999999999,99.7,110.6
2018-04-11,1610612746,1610612747,2017,100.0,115.0,215.0,109.7,112.15,109.25,109.1
2018-04-11,1610612757,1610612762,2017,102.0,93.0,195.0,107.25,102.35,109.05,94.5
2018-04-11,1610612758,1610612745,2017,96.0,83.0,179.0,97.55000000000001,103.0,108.4,99.7
2018-04-10,1610612754,1610612766,2017,93.0,119.0,212.0,104.25,100.65,113.7,111.85
2018-04-10,1610612737,1610612755,2017,113.0,121.0,234.0,103.15,110.95,115.19999999999999,104.69999999999999
2018-04-10,1610612764,1610612738,2017,113.0,101.0,214.0,104.95,107.6,105.0,103.2
2018-04-10,1610612742,1610612756,2017,97.0,124.0,221.0,104.05000000000001,106.4,101.80000000000001,114.15
2018-04-10,1610612762,1610612744,2017,119.0,79.0,198.0,108.9,95.95,106.75,106.4
2018-04-10,1610612747,1610612745,2017,99.0,105.0,204.0,109.69999999999999,109.19999999999999,107.95,99.0
2018-04-09,1610612765,1610612761,2017,98.0,108.0,206.0,105.44999999999999,103.4,110.9,104.9
2018-04-09,1610612751,1610612741,2017,114.0,105.0,219.0,109.35,111.55,102.6,110.8
2018-04-09,1610612748,1610612760,2017,93.0,115.0,208.0,110.65,105.9,109.65,107.65
2018-04-09,1610612752,1610612739,2017,109.0,123.0,232.0,105.0,111.94999999999999,113.1,110.2
2018-04-09,1610612749,1610612753,2017,102.0,86.0,188.0,112.1,111.2,97.19999999999999,104.05000000000001
2018-04-09,1610612750,1610612763,2017,113.0,94.0,207.0,109.3,109.95,99.9,109.94999999999999
2018-04-09,1610612759,1610612758,2017,98.0,85.0,183.0,105.8,102.44999999999999,99.0,103.55
2018-04-09,1610612743,1610612757,2017,88.0,82.0,170.0,116.80000000000001,114.5,108.15,102.0
2018-04-09,1610612746,1610612740,2017,100.0,113.0,213.0,111.1,111.75,111.75,108.25
2018-04-08,1610612766,1610612754,2017,117.0,123.0,240.0,113.4,110.5,103.0,99.55000000000001
2018-04-08,1610612755,1610612742,2017,109.0,97.0,206.0,115.25,104.8,104.2,106.35
2018-04-08,1610612738,1610612737,2017,106.0,112.0,218.0,104.25,102.45,102.05,110.95
2018-04-08,1610612763,1610612765,2017,130.0,117.0,247.0,97.85,109.69999999999999,104.4,102.15
2018-04-08,1610612761,1610612753,2017,112.0,101.0,213.0,110.44999999999999,104.75,97.19999999999999,103.7
2018-04-08,1610612747,1610612762,2017,97.0,112.0,209.0,110.0,109.0,107.9,95.5
2018-04-08,1610612756,1610612744,2017,100.0,117.0,217.0,102.65,114.7,107.15,106.95
2018-04-07,1610612746,1610612743,2017,115.0,134.0,249.0,109.95,110.30000000000001,116.4,114.6
2018-04-07,1610612752,1610612749,2017,102.0,115.0,217.0,105.44999999999999,112.44999999999999,110.7,111.6
2018-04-07,1610612741,1610612751,2017,96.0,124.0,220.0,103.55,110.4,108.7,112.55
