Actual_Total,ls_prediction,over_line,under_line,over_difference,under_difference,Bet,over_odds,under_odds,outcome,profit
187,207.8331432898171,207.0,207.5,0.8331432898170874,-0.3331432898170874,No Bet,1.99009900990099,1.9523809523809523,,
208,214.50533961852236,202.0,201.5,12.505339618522356,-13.005339618522356,Over,2.0,1.99009900990099,Win,1.0
194,205.80424122986435,214.5,215.0,-8.695758770135654,9.195758770135654,Under,1.9523809523809523,1.9523809523809523,Win,0.9523809523809523
183,200.15624594535404,201.5,201.5,-1.3437540546459559,1.3437540546459559,No Bet,2.05,1.9523809523809523,,
206,227.9399536562744,216.0,216.5,11.939953656274412,-11.439953656274412,Over,1.9523809523809523,1.9523809523809523,Loss,-1.0
193,214.72133941505106,206.0,205.5,8.721339415051062,-9.221339415051062,No Bet,1.9803921568627452,2.0,,
206,201.84327667895067,207.5,207.5,-5.656723321049327,5.656723321049327,Under,1.925925925925926,2.01,Win,1.0099999999999998
226,237.039616407504,217.0,217.0,20.039616407504013,-20.039616407504013,Over,1.9615384615384617,1.9523809523809523,Win,0.9615384615384617
195,224.59430654281445,215.5,216.0,9.09430654281445,-8.59430654281445,No Bet,2.0300000000000002,1.9523809523809523,,
190,215.5478051661913,204.5,205.0,11.047805166191296,-10.547805166191296,Over,1.970873786407767,1.9523809523809523,Loss,-1.0
179,211.60407870499859,202.5,203.0,9.104078704998585,-8.604078704998585,No Bet,1.9803921568627452,1.9523809523809523,,
219,217.97589123782944,217.0,217.5,0.975891237829444,-0.475891237829444,No Bet,2.01,1.9523809523809523,,
209,198.9304485171793,208.0,208.0,-9.069551482820714,9.069551482820714,Under,1.9523809523809523,1.970873786407767,Loss,-1.0
206,215.46190660427533,204.0,205.0,11.461906604275327,-10.461906604275327,Over,2.0300000000000002,1.8695652173913042,Win,1.0300000000000002
204,213.077281658931,206.5,207.0,6.577281658931014,-6.077281658931014,No Bet,1.9803921568627452,1.9523809523809523,,
193,209.98399292387006,206.5,208.0,3.483992923870062,-1.983992923870062,No Bet,1.99009900990099,1.8695652173913042,,
204,223.21085537737903,217.0,217.5,6.210855377379033,-5.710855377379033,No Bet,1.9803921568627452,1.9523809523809523,,
226,229.68265635395875,217.0,217.5,12.682656353958748,-12.182656353958748,Over,1.9523809523809523,1.9523809523809523,Win,0.9523809523809523
208,215.94214995094595,212.5,214.0,3.4421499509459466,-1.9421499509459466,No Bet,1.9803921568627452,1.9090909090909092,,
217,215.7058933912253,208.5,209.0,7.205893391225288,-6.705893391225288,No Bet,1.9345794392523366,1.970873786407767,,
254,231.6572221229318,217.0,217.5,14.657222122931813,-14.157222122931813,Over,1.9433962264150944,1.9523809523809523,Win,0.9433962264150944
225,234.00164999039308,217.5,217.5,16.501649990393076,-16.501649990393076,Over,1.9523809523809523,1.970873786407767,Win,0.9523809523809523
182,211.5452181143209,209.0,209.5,2.545218114320903,-2.045218114320903,No Bet,1.9803921568627452,1.9523809523809523,,
208,217.47456599664744,205.5,206.0,11.974565996647442,-11.474565996647442,Over,1.9523809523809523,1.9523809523809523,Win,0.9523809523809523
207,220.31485848476345,205.0,205.5,15.314858484763448,-14.814858484763448,Over,1.9433962264150944,1.9523809523809523,Win,0.9433962264150944
221,227.56342987306434,216.0,216.0,11.563429873064337,-11.563429873064337,Over,1.9803921568627452,1.9523809523809523,Win,0.9803921568627452
236,237.6958077910847,213.5,213.5,24.19580779108469,-24.19580779108469,Over,1.9803921568627452,1.970873786407767,Win,0.9803921568627452
184,206.03854579941003,216.0,216.5,-9.96145420058997,10.46145420058997,Under,2.01,1.9523809523809523,Win,0.9523809523809523
197,219.9094237023175,212.5,213.0,7.409423702317497,-6.909423702317497,No Bet,1.9345794392523366,1.9523809523809523,,
197,214.426009366844,208.5,208.5,5.926009366843999,-5.926009366843999,No Bet,1.9523809523809523,1.9523809523809523,,
249,229.4921029716324,213.5,214.5,15.992102971632391,-14.992102971632391,Over,1.9345794392523366,1.9523809523809523,Win,0.9345794392523366
226,212.79581266482703,199.5,201.0,13.295812664827025,-11.795812664827025,Over,1.9803921568627452,1.9090909090909092,Win,0.9803921568627452
213,225.70766520659058,216.0,218.0,9.707665206590576,-7.707665206590576,No Bet,1.9523809523809523,1.9090909090909092,,
217,223.73247960349985,205.5,206.0,18.232479603499854,-17.732479603499854,Over,2.0,1.9523809523809523,Win,1.0
216,221.93822056174574,217.0,217.0,4.938220561745737,-4.938220561745737,No Bet,1.9523809523809523,1.9803921568627452,,
205,217.07312908206842,215.5,216.0,1.5731290820684194,-1.0731290820684194,No Bet,1.9803921568627452,1.9523809523809523,,
178,213.47427496125218,212.0,213.0,1.4742749612521777,-0.4742749612521777,No Bet,1.9615384615384617,1.9523809523809523,,
220,208.5331488963075,199.5,201.0,9.033148896307495,-7.533148896307495,No Bet,1.9523809523809523,1.9090909090909092,,
224,202.36037639737887,205.0,205.0,-2.6396236026211284,2.6396236026211284,No Bet,1.925925925925926,2.01,,
220,239.6775909105992,214.0,214.5,25.677590910599207,-25.177590910599207,Over,1.9523809523809523,1.9523809523809523,Win,0.9523809523809523
192,219.24209659862527,216.5,217.0,2.742096598625267,-2.242096598625267,No Bet,1.9523809523809523,1.9523809523809523,,
205,223.9901936482846,205.0,205.0,18.99019364828459,-18.99019364828459,Over,1.9523809523809523,2.0,Push,
233,233.66544881913865,214.0,214.5,19.665448819138646,-19.165448819138646,Over,2.02,1.9523809523809523,Win,1.02
260,219.71936226671227,211.5,212.5,8.219362266712267,-7.219362266712267,No Bet,1.9523809523809523,1.8849557522123894,,
225,224.7549583765721,221.0,220.5,3.754958376572091,-4.254958376572091,No Bet,2.0,1.9803921568627452,,
207,203.32506496063806,205.5,205.5,-2.174935039361941,2.174935039361941,No Bet,1.9523809523809523,2.0300000000000002,,
208,210.97366749547135,213.5,213.5,-2.5263325045286535,2.5263325045286535,No Bet,1.9523809523809523,1.9803921568627452,,
193,196.0348625805828,205.0,205.5,-8.965137419417204,9.465137419417204,Under,1.9523809523809523,1.9433962264150944,Win,0.9433962264150944
206,216.39024092883668,213.0,213.0,3.3902409288366755,-3.3902409288366755,No Bet,1.9803921568627452,1.9523809523809523,,
218,210.24982153340164,216.0,216.5,-5.750178466598356,6.250178466598356,Under,1.9345794392523366,1.970873786407767,Loss,-1.0
220,216.66000678480893,211.5,211.5,5.160006784808928,-5.160006784808928,No Bet,1.9523809523809523,1.9803921568627452,,
195,191.78964925709823,202.0,204.0,-10.210350742901767,12.210350742901767,Under,1.9523809523809523,1.9090909090909092,Win,0.9090909090909092
179,188.2625602121275,201.0,201.5,-12.73743978787249,13.23743978787249,Under,1.9523809523809523,2.0,Win,1.0
225,203.09331477121427,201.5,202.5,1.593314771214267,-0.593314771214267,No Bet,1.9523809523809523,1.9803921568627452,,
215,219.0754064012957,214.0,215.0,5.075406401295709,-4.075406401295709,No Bet,1.9090909090909092,1.9523809523809523,,
212,213.60140687190435,216.5,217.0,-2.898593128095655,3.398593128095655,No Bet,1.9523809523809523,1.9523809523809523,,
198,199.9769343425215,211.0,211.0,-11.023065657478497,11.023065657478497,Under,1.9523809523809523,1.970873786407767,Win,0.970873786407767
221,220.15712120269026,206.0,207.0,14.157121202690263,-13.157121202690263,Over,1.9523809523809523,1.9523809523809523,Win,0.9523809523809523
204,206.9758830979026,218.0,218.0,-11.024116902097404,11.024116902097404,Under,1.99009900990099,1.9523809523809523,Win,0.9523809523809523
234,233.35248731426935,220.0,221.5,13.352487314269354,-11.852487314269354,Over,1.8695652173913042,1.925925925925926,Win,0.8695652173913042
214,212.72845933388052,204.5,205.0,8.228459333880522,-7.728459333880522,No Bet,1.9803921568627452,1.9803921568627452,,
188,210.93991101471062,211.5,212.0,-0.5600889852893829,1.060088985289383,No Bet,1.9523809523809523,1.9523809523809523,,
206,221.74012872110396,210.0,211.0,11.740128721103957,-10.740128721103957,Over,1.9523809523809523,1.9523809523809523,Loss,-1.0
219,231.6415947893287,218.5,219.0,13.141594789328707,-12.641594789328707,Over,1.9615384615384617,1.9523809523809523,Win,0.9615384615384617
208,207.26332102322863,212.5,212.5,-5.236678976771373,5.236678976771373,Under,1.99009900990099,1.9803921568627452,Win,0.9803921568627452
232,232.702148458487,222.0,222.0,10.702148458486988,-10.702148458486988,Over,1.970873786407767,1.9615384615384617,Win,0.970873786407767
213,231.64948135360865,222.5,222.5,9.14948135360865,-9.14948135360865,No Bet,1.9523809523809523,1.970873786407767,,
207,211.7645640715183,213.5,215.0,-1.7354359284817065,3.2354359284817065,No Bet,1.9090909090909092,1.9803921568627452,,
183,188.2186250351728,200.0,200.5,-11.781374964827194,12.281374964827194,Under,1.9523809523809523,1.9523809523809523,Win,0.9523809523809523
170,191.79977366109418,220.0,221.5,-28.20022633890582,29.70022633890582,Under,1.9345794392523366,1.9090909090909092,Win,0.9090909090909092
247,231.42979241352157,202.5,203.0,28.929792413521568,-28.429792413521568,Over,1.9345794392523366,1.9523809523809523,Win,0.9345794392523366
213,217.58183037955928,209.5,210.5,8.081830379559278,-7.081830379559278,No Bet,1.9523809523809523,1.9523809523809523,,
240,226.94143820721757,214.5,214.5,12.441438207217573,-12.441438207217573,Over,1.970873786407767,1.9523809523809523,Win,0.970873786407767
206,221.41383661745252,215.0,216.0,6.413836617452517,-5.413836617452517,No Bet,1.99009900990099,1.9090909090909092,,
217,221.65394402002855,216.5,217.0,5.153944020028547,-4.653944020028547,No Bet,1.9615384615384617,1.9523809523809523,,
218,218.3274805303731,201.5,201.5,16.827480530373094,-16.827480530373094,Over,1.99009900990099,1.9523809523809523,Win,0.9900990099009901
209,221.05838273792438,208.0,208.0,13.058382737924376,-13.058382737924376,Over,1.99009900990099,1.9523809523809523,Win,0.9900990099009901
221,201.17080848794856,203.0,204.0,-1.8291915120514375,2.8291915120514375,No Bet,1.9523809523809523,1.9615384615384617,,
246,254.8968282187669,226.0,226.0,28.8968282187669,-28.8968282187669,Over,1.99009900990099,1.9523809523809523,Win,0.9900990099009901
210,217.11239794527557,220.0,220.5,-2.887602054724425,3.387602054724425,No Bet,1.9523809523809523,1.9523809523809523,,
220,228.2175055385638,221.0,221.0,7.217505538563813,-7.217505538563813,No Bet,1.970873786407767,1.9523809523809523,,
217,228.67196015071866,214.5,216.0,14.171960150718661,-12.671960150718661,Over,1.9523809523809523,1.9174311926605505,Win,0.9523809523809523
