,GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_against_average_last10,away_point_average_last10,away_point_against_average_last10,over_successful,under_successful
288,12/11/2017,21700391,1610612741,1610612738,2017,108,0.481,0.72,0.414,23,46,85,0.398,0.643,0.25,22,46,1,Pinnacle Sports,238,193.0,-105,193,5Dimes,19,193.5,-105,96.9,108.35,104.25,98.2,1,1
289,12/11/2017,21700392,1610612745,1610612740,2017,130,0.545,0.68,0.378,30,36,123,0.576,0.538,0.545,32,41,1,Pinnacle Sports,238,227.0,-105,253,Heritage,169,227.5,-105,115.35,103.1,111.65,111.5,1,0
290,12/11/2017,21700393,1610612763,1610612748,2017,82,0.389,0.667,0.296,17,31,107,0.561,0.792,0.519,24,35,0,Pinnacle Sports,238,194.0,-105,189,Heritage,169,194.5,-105,97.15,103.75,100.35,103.65,0,1
291,12/11/2017,21700394,1610612760,1610612766,2017,103,0.412,0.96,0.346,16,39,116,0.531,0.708,0.52,22,41,0,Heritage,169,206.5,-105,219,5Dimes,19,207.0,-102,101.1,99.55,104.7,108.15,1,0
292,12/11/2017,21700395,1610612744,1610612757,2017,111,0.55,0.765,0.5,26,42,104,0.42,0.92,0.25,14,39,1,Heritage,169,217.0,-105,215,Pinnacle Sports,238,217.5,-105,115.1,104.75,103.25,100.85,0,1
293,12/11/2017,21700396,1610612746,1610612761,2017,96,0.37,0.833,0.222,18,57,91,0.4,0.769,0.241,18,43,1,Pinnacle Sports,238,215.0,-105,187,Pinnacle Sports,238,215.0,-105,104.15,111.1,113.15,104.45,0,1
294,12/12/2017,21700399,1610612752,1610612747,2017,113,0.475,0.727,0.409,25,49,109,0.412,0.8,0.371,24,52,1,Heritage,169,211.0,-105,222,Pinnacle Sports,238,211.5,-105,100.7,103.4,106.55,108.3,1,0
295,12/12/2017,21700397,1610612739,1610612737,2017,123,0.558,0.7,0.526,35,37,114,0.467,0.923,0.444,26,37,1,Heritage,169,215.0,-105,237,5Dimes,19,215.0,-101,112.55,106.15,104.05,108.3,1,0
296,12/12/2017,21700398,1610612765,1610612743,2017,84,0.354,0.864,0.36,17,40,103,0.506,0.929,0.333,27,44,0,5Dimes,19,210.5,-108,187,Pinnacle Sports,238,211.0,-103,103.1,102.75,108.6,109.2,0,1
297,12/12/2017,21700400,1610612751,1610612764,2017,103,0.405,0.758,0.233,26,53,98,0.4,0.818,0.182,18,49,1,5Dimes,19,214.0,-102,201,Heritage,169,214.5,-105,106.7,109.05,105.25,104.2,0,1
298,12/12/2017,21700402,1610612742,1610612759,2017,95,0.427,0.833,0.375,17,49,89,0.402,0.632,0.25,20,49,1,5Dimes,19,200.0,-102,184,Pinnacle Sports,238,200.5,-104,100.25,102.1,100.85,97.75,0,1
299,12/12/2017,21700401,1610612750,1610612755,2017,112,0.407,0.704,0.172,19,50,118,0.5,0.844,0.423,32,52,0,5Dimes,19,215.0,-105,230,Pinnacle Sports,238,215.5,-105,106.3,103.15,109.65,108.95,1,0
