GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10
2017-11-03,21700121,1610612755,1610612754,2017,121.0,0.5,0.7859999999999999,0.5,34.0,50.0,110.0,0.464,0.632,0.286,25.0,40.0,1,Heritage,169,217.0,-105.0,231.0,Pinnacle Sports,238,216.5,104.0,106.51190476190476,108.1547619047619,108.20408163265309,103.59183673469389
2017-11-03,21700124,1610612752,1610612756,2017,120.0,0.517,0.88,0.308,24.0,49.0,107.0,0.351,0.8109999999999999,0.281,17.0,47.0,1,5Dimes,19,221.0,-101.0,227.0,Pinnacle Sports,238,221.0,-104.0,99.28571428571428,107.95714285714286,106.66666666666666,115.83333333333331
2017-11-03,21700129,1610612760,1610612738,2017,94.0,0.402,0.7859999999999999,0.371,20.0,48.0,101.0,0.429,0.667,0.464,23.0,49.0,0,Pinnacle Sports,238,207.5,-100.0,195.0,5Dimes,19,207.5,-108.0,104.1,95.1,104.08333333333331,94.16666666666666
2017-11-03,21700126,1610612759,1610612766,2017,108.0,0.47,0.8079999999999999,0.333,31.0,45.0,101.0,0.413,0.643,0.333,16.0,46.0,1,5Dimes,19,200.5,-105.0,209.0,Pinnacle Sports,238,200.0,-100.0,101.39285714285714,100.26190476190476,103.67857142857144,103.13095238095238
2017-11-03,21700128,1610612762,1610612761,2017,100.0,0.438,0.917,0.348,11.0,33.0,109.0,0.535,0.7859999999999999,0.3670000000000001,20.0,39.0,0,Pinnacle Sports,238,195.0,-102.0,209.0,Heritage,169,195.0,-105.0,101.56666666666666,96.41666666666666,107.01923076923076,103.41346153846156
2017-11-03,21700130,1610612747,1610612751,2017,124.0,0.511,0.7040000000000001,0.429,26.0,57.0,112.0,0.407,0.763,0.237,23.0,43.0,1,Pinnacle Sports,238,227.5,-108.0,236.0,5Dimes,19,228.0,-105.0,100.85,108.60555555555555,110.88541666666666,112.97916666666666
2017-11-03,21700127,1610612743,1610612748,2017,95.0,0.45,0.56,0.391,17.0,41.0,94.0,0.468,0.636,0.405,23.0,41.0,1,Pinnacle Sports,238,216.5,-105.0,189.0,Pinnacle Sports,238,216.5,-105.0,110.46572104018912,108.99290780141844,102.39236111111111,103.27777777777776
2017-11-03,21700123,1610612737,1610612745,2017,104.0,0.481,0.833,0.333,16.0,41.0,119.0,0.472,0.826,0.34,28.0,44.0,0,Bovada,999996,214.0,-105.0,223.0,5Dimes,19,214.5,-105.0,101.75163398692813,105.13725490196076,111.48148148148148,103.87037037037037
2017-11-04,21700131,1610612746,1610612763,2017,104.0,0.458,0.774,0.154,18.0,43.0,113.0,0.476,0.833,0.419,21.0,39.0,0,Pinnacle Sports,238,200.5,100.0,217.0,5Dimes,19,200.0,-105.0,106.43,104.8322222222222,102.52614379084967,99.33660130718954
2017-11-04,21700132,1610612765,1610612758,2017,108.0,0.506,0.682,0.542,28.0,35.0,99.0,0.526,0.6920000000000001,0.476,24.0,32.0,1,5Dimes,19,195.5,-102.0,207.0,Pinnacle Sports,238,195.0,105.0,104.07142857142856,102.07142857142856,92.85555555555555,103.53333333333332
2017-11-04,21700133,1610612741,1610612740,2017,90.0,0.354,0.75,0.262,23.0,58.0,96.0,0.402,0.773,0.29,23.0,52.0,0,Heritage,169,199.0,-105.0,186.0,Pinnacle Sports,238,199.5,-100.0,95.83333333333334,103.3095238095238,105.9,109.6625
2017-11-04,21700134,1610612750,1610612742,2017,112.0,0.544,0.8,0.417,33.0,48.0,99.0,0.46,0.75,0.37,18.0,31.0,1,Pinnacle Sports,238,214.0,-102.0,211.0,5Dimes,19,214.0,-103.0,107.84375,106.0,99.06349206349206,104.12698412698413
