GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_against_average_last10,away_point_average_last10,away_point_against_average_last10,avgpointtotal_home,avgpointtotal_away,meanpointtotal,diff
11/3/2017,21700121,1610612755,1610612754,2017,121,0.5,0.786,0.5,34,50,110,0.464,0.632,0.286,25,40,1,Heritage,169,217.0,-105,231,Pinnacle Sports,238,216.5,104,106.5119048,108.1547619,108.2040816,103.5918367,214.6666667,211.79591829999998,213.2312925,2.870748400000025
11/3/2017,21700124,1610612752,1610612756,2017,120,0.517,0.88,0.308,24,49,107,0.351,0.811,0.281,17,47,1,5Dimes,19,221.0,-101,227,Pinnacle Sports,238,221.0,-104,99.28571429,107.9571429,106.6666667,115.8333333,207.24285719,222.5,214.871428595,-15.257142810000005
11/3/2017,21700129,1610612760,1610612738,2017,94,0.402,0.786,0.371,20,48,101,0.429,0.667,0.464,23,49,0,Pinnacle Sports,238,207.5,-100,195,5Dimes,19,207.5,-108,104.1,95.1,104.0833333,94.16666667,199.2,198.24999997,198.724999985,0.950000029999984
11/3/2017,21700126,1610612759,1610612766,2017,108,0.47,0.808,0.333,31,45,101,0.413,0.643,0.333,16,46,1,5Dimes,19,200.5,-105,209,Pinnacle Sports,238,200.0,-100,101.3928571,100.2619048,103.6785714,103.1309524,201.65476189999998,206.8095238,204.23214285,-5.154761900000011
11/3/2017,21700128,1610612762,1610612761,2017,100,0.438,0.917,0.348,11,33,109,0.535,0.786,0.367,20,39,0,Pinnacle Sports,238,195.0,-102,209,Heritage,169,195.0,-105,101.5666667,96.41666667,107.0192308,103.4134615,197.98333337,210.43269229999999,204.20801283499998,-12.449358929999988
11/3/2017,21700130,1610612747,1610612751,2017,124,0.511,0.704,0.429,26,57,112,0.407,0.763,0.237,23,43,1,Pinnacle Sports,238,227.5,-108,236,5Dimes,19,228.0,-105,100.85,108.6055556,110.8854167,112.9791667,209.4555556,223.8645834,216.6600695,-14.40902779999999
11/3/2017,21700127,1610612743,1610612748,2017,95,0.45,0.56,0.391,17,41,94,0.468,0.636,0.405,23,41,1,Pinnacle Sports,238,216.5,-105,189,Pinnacle Sports,238,216.5,-105,110.465721,108.9929078,102.3923611,103.2777778,219.45862879999999,205.67013889999998,212.56438384999998,13.788489900000002
11/3/2017,21700123,1610612737,1610612745,2017,104,0.481,0.833,0.333,16,41,119,0.472,0.826,0.34,28,44,0,Bovada,999996,214.0,-105,223,5Dimes,19,214.5,-105,101.751634,105.1372549,111.4814815,103.8703704,206.88888889999998,215.35185189999999,211.12037039999998,-8.462963000000002
11/4/2017,21700131,1610612746,1610612763,2017,104,0.458,0.774,0.154,18,43,113,0.476,0.833,0.419,21,39,0,Pinnacle Sports,238,200.5,100,217,5Dimes,19,200.0,-105,106.43,104.8322222,102.5261438,99.33660131,211.2622222,201.86274511,206.562483655,9.399477090000005
11/4/2017,21700132,1610612765,1610612758,2017,108,0.506,0.682,0.542,28,35,99,0.526,0.692,0.476,24,32,1,5Dimes,19,195.5,-102,207,Pinnacle Sports,238,195.0,105,104.0714286,102.0714286,92.85555556,103.5333333,206.1428572,196.38888886,201.26587303000002,9.75396834
